Artist,Song title,Popularity Score,Lyrics
Rihanna,Man Down,59,"Sak Pasé

I didn't mean to end his life
I know it wasn't right
I can't even sleep at night
Can't get it off my mind
I need to get out of sight
Before I end up behind bars

What started out as a simple altercation
Turned into a real sticky situation
Me just thinking on the time that I'm facing
Makes me wanna cry

'Cause I didn't mean to hurt him
Could've been somebody's son
And I took his heart when
I pulled out that gun

Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down

Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down

Oh, mama, mama, mama
I just shot a man down
In central station
In front of a big old crowd
Oh why, oh why?

Oh, mama, mama, mama
I just shot a man down
In central station

It's a 22, I call her Peggy Sue
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kings of Leon,Pyro,66,"Single book of matches gonna burn what's standing in the way

Roaring down the mountain, now they're calling on the fire brigade
Bury out the pictures and tell the kids that I'm okay

If and I'm forgotten, you'll remember me for the day

I, I won't ever be your corner stone
I

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Joy Division,Atmosphere - 2010 Remaster,51,"Walk in silence
Don't walk away, in silence
See the danger
Always danger
Endless talking
Life rebuilding
Don't walk away
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kings of Leon,Back Down South,58,"Come on out and dance, if you get the chance
We're gonna spit on the rivals
All I wanna know is how far you wanna go
Fighting for survival

Underneath the stars, where we parked the cars
Ain't showing signs of stopping
Pretty little girls, naked to their curls
Ready to lay in a coffin

If you wanna go, I'm gonna go
I've got a fire burning
Go on, take my hand when we see the band
Baby's gonna be a big one, oh, yeah

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Agnes Obel,Riverside,48,"Down by the river by the boat
Where everybody goes to be alone
Where you won't see any rising sun
Down to the river we will run

When by the water we drink to the dregs
Look at the stones on the riverbed
I can tell from your eyes
You've never been by the riverside

Down by the water, the riverbed
Somebody calls you, somebody says
""Swim with the current and float away""
Down by the river everyday

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
DJ Paul Elstak,Rainbow In The Sky - K & A's Radio Blast,60,"I wanna see a rainbow high in the sky
I wanna see you and me on a bird flying away
-Flying away-
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Black Keys,Little Black Submarines,65,"Little black submarines
Operator, please
Put me back on the line
Told my girl I'd be back
Operator, please
This is wreckin' my mind

Oh, can it be?
The voices calling me
They get lost and out of time
I should've seen it glow
But everybody knows
That a broken heart is blind
That a broken heart is blind

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Foo Fighters,Walk,69,"A million miles away
Your signal in the distance
To whom it may concern
I think I lost my way
Getting good at starting over
Every time that I return

I'm learnin' to walk again
I believe I've waited long enough
Where do I begin?

I'm learnin' to talk again
Can't you see I've waited long enough?
Where do I begin?

Do you remember the days?
We built these paper mountains
Then sat and watched them burn?
I think I found my place
Can't you feel it growing stronger?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ed Sheeran,The A Team,76,"White lips, pale face
Breathing in snowflakes
Burnt lungs, sour taste
Light's gone, day's end
Struggling to pay rent
Long nights, strange men

And they say
She's in the Class A Team
Stuck in her daydream
Been this way since eighteen
But lately her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
The worst things in life come free to us
'Cause we're just under the upper hand
And go mad for a couple grams
And she don't want to go outside tonight
And in a pipe she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elbow,lippy kids,29,"Lippy Kids on the corner again
Lippy Kids on the corner begin
Settling like crows
Though I never perfected the simian stroll
The cigarette scent it was everything then

Do they know those days are golden?
Build a rocket boys
Build a rocket boys!

One long June
I came down from the trees
And kerbstone cool
You were a freshly painted angel
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Within Temptation,Faster,53,"I can't sleep
'Cause it's burning deep inside
Like gasoline on a fire running wild
No more fear, 'cause I'm getting closer now
So unreal, but I like it anyhow

I go faster and faster
And faster and faster
And faster and faster
And faster

And I can't live in a fairytale of lies
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Black Keys,Lonely Boy,73,"Well, I'm so above you
And it's plain to see
But I came to love you anyway
So you tore my heart out
And I don't mind bleeding
Any old time to keep me waiting
Waiting, waiting

Oh, oh-oh, I got a love that keeps me waiting
Oh, oh-oh, I got a love that keeps me waiting
I'm a lonely boy
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sniff 'n' The Tears,Driver's Seat,54,"Doing all right
A little jiving on a Saturday night
'N come what may
Gonna dance the day away

Jenny was sweet
She always smiled for the people she'd meet
On trouble and strife
She had another way of looking at life

The news is blue (The news is blue)
Has it's own way to get to you (Ooh-ooh)
What can I do (What can I do?)
When I remember my time with you?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Every Teardrop Is a Waterfall,68,"I turn the music up, I got my records on
I shut the world outside until the lights come on
Maybe the streets alight, maybe the trees are gone
I feel my heart start beating to my favorite song
And all the kids they dance, all the kids all night
Until Monday morning feels another life
I turn the music up, I'm on a roll this time
And heaven is in sight

I turn the music up, I got my records on
From underneath the rubble sing a rebel song
Don't want to see another generation drop
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Adele,Rumour Has It,65,"Ooh-ooh
Ooh-ooh
Ooh-ooh
Ooh-ooh

She, she ain't real
She ain't gon' be able to love you like I will
She is a stranger
You and I have history, or don't you remember?
Sure, she's got it all
But baby, is that really what you want?

Bless your soul, you've got your head in the clouds
She made a fool out of you and boy, she's bringing you down
She made your heart melt, but you're cold to the core
Now rumour has it, she ain't got your love anymore

Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ben Howard,Keep Your Head Up,66,"I spent my time watchin'
The spaces that have grown between us
And I cut my mind, on second best
All the scars that come with the greenness
And I gave my eyes to the boredom
Still the seabed wouldn't let me in
And I tried my best
To embrace the darkness in which I swim

Now walkin' back, down this mountain
The strength of a turnin' tide
Oh the wind's so soft, and my skin
Yeah the sun was so hot upon my side
Oh lookin' out, at this happiness
I searched for it between the sheets
Oh feelin' blind, and realized

All I was searchin' for was me
Oh oh, all I was searchin' for was me

Oh, yeah
Keep your head up, keep your heart strong
No, no, no, no
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Foster The People,Pumped Up Kicks,84,"Robert's got a quick hand
He'll look around the room, he won't tell you his plan
He's got a rolled cigarette, hanging out his mouth he's a cowboy kid
Yeah found a six shooter gun
In his dad's closet hidden oh in a
Box of fun things, I don't even know what
But he's coming for you, yeah he's coming for you

All the other kids with the pumped up kicks
You'd better run, better run, out run my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet
All the other kids with the pumped up kicks
You'd better run, better run, out run my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
